,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
44,Home,BALL LOST,,1,4445,177.8,4453,178.12,Player10,,0.55,0.84,0.57,0.78,0.019999999999999907,0.05999999999999994,0.0632455532033675
45,Away,RECOVERY,,1,4452,178.08,4452,178.08,Player19,,0.56,0.82,,,,,
46,Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,Player19,,0.54,0.87,0.48,0.85,0.06000000000000005,0.020000000000000018,0.06324555320336764
47,Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,Player1,,0.5,0.87,,,,,
48,Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,Player1,,0.37,0.97,0.65,0.92,0.28,0.04999999999999993,0.2844292530665578
49,Away,RECOVERY,INTERCEPTION,1,4679,187.16,4679,187.16,Player17,,0.62,0.92,,,,,
50,Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,Player17,,0.6,0.95,0.36,0.78,0.24,0.16999999999999993,0.2941088233970548
51,Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,Player7,,0.39,0.78,,,,,
52,Home,BALL OUT,,1,4751,190.04,4836,193.44,Player7,,0.39,0.78,0.67,1.03,0.28,0.25,0.3753664875824692
53,Away,SET PIECE,THROW IN,1,5057,202.28,5057,202.28,Player22,,,,,,,,
54,Away,PASS,,1,5057,202.28,5081,203.24,Player22,Player19,0.58,1.01,0.57,0.89,0.010000000000000009,0.12,0.12041594578792295
55,Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206.0,Player19,,0.57,0.89,0.25,0.84,0.31999999999999995,0.050000000000000044,0.32388269481403287
56,Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,Player2,,0.24,0.82,,,,,
57,Home,PASS,,1,5149,205.96,5202,208.08,Player2,Player1,0.24,0.82,0.32,0.89,0.08000000000000002,0.07000000000000006,0.10630145812734655
